config_id,model_name,feature_space,input_scope,outer_fold_count,outer_c_index_mean,outer_c_index_std,auc_1_year_mean,auc_3_year_mean,auc_5_year_mean,km_logrank_p_median,train_minus_test_gap_mean,available,status
rna_pca25_clinical_cox,RNA PCA + clinical Cox,PCA_25,combined,15.0,0.6357908050935548,0.05153739522101339,0.6863701137803363,0.6496575536169457,0.6460993407273077,0.023504954447674666,0.0823369856509001,True,evaluated
clinical_cox,Clinical Cox,clinical_only,clinical,15.0,0.6288050502706525,0.050143030533673486,0.6819702815283759,0.647991122851733,0.6583798264763178,0.012416338747836193,0.015246970353010154,True,evaluated
clinical_elasticnet_cox,Clinical ElasticNet Cox,clinical_only,clinical,15.0,0.6286665458814633,0.05015369020584052,0.6819731224144078,0.647566617050883,0.6578506961639056,0.012416338747836193,0.015410925974664692,True,evaluated
rna_pca50_clinical_cox,RNA PCA + clinical Cox,PCA_50,combined,15.0,0.6279156624728586,0.04690381129393444,0.6782689053658373,0.6490908387720172,0.63633644009547,0.09829370901049361,0.12143729541956559,True,evaluated
rna_clinical_univariate_cox_selected,RNA + clinical ElasticNet Cox,univariate_cox_selected_genes_inside_inner_cv,combined,15.0,0.6223213284795606,0.04055104317022895,0.6861779342518411,0.609948711691541,0.6000443559421887,0.18055986770087873,0.19691951780968953,True,evaluated
rna_pca100_clinical_cox,RNA PCA + clinical Cox,PCA_100,combined,15.0,0.6082718722404018,0.04715704812476141,0.6461197608143644,0.6361512074055206,0.603336929811388,0.15078441756776037,0.19825908797208863,True,evaluated
deepsurv_rna_raw_top500,DeepSurv RNA only,raw_high_variance_genes_top500,rna,15.0,0.5765019162473533,0.04947984035261239,0.6095984357830834,0.5963570383897193,0.5479333533110623,0.3289448672362264,0.3990159967549736,True,evaluated
deepsurv_rna_clinical_raw_top500,DeepSurv RNA + clinical,raw_high_variance_genes_top500,combined,15.0,0.5764851199766047,0.05123229628424751,0.6200970375593943,0.6081801671169571,0.5552941677345703,0.4596488262124119,0.40183068302412916,True,evaluated
rna_clinical_elasticnet_raw_top1000,RNA + clinical ElasticNet Cox,raw_high_variance_genes_top1000,combined,15.0,0.5650918943884927,0.05469278998320635,0.6210530794105256,0.5746357611929016,0.525468169544021,0.6452610085184618,0.42657649481730764,True,evaluated
rna_clinical_elasticnet_raw_top500,RNA + clinical ElasticNet Cox,raw_high_variance_genes_top500,combined,15.0,0.564835253231404,0.04259667688358931,0.6080696135793678,0.5806394353725629,0.5593954047328661,0.48032690716459503,0.4018227140204436,True,evaluated
rna_clinical_elasticnet_selected,RNA + clinical ElasticNet Cox,ElasticNet_selected_genes,combined,15.0,0.5643004266703621,0.04443801123381104,0.5922208008416984,0.5824296359040004,0.5816117867531696,0.3694532868987219,0.34133790950732323,True,evaluated
rna_clinical_elasticnet_raw_top3000,RNA + clinical ElasticNet Cox,raw_high_variance_genes_top3000,combined,15.0,0.5618139274016514,0.047349388303494,0.6069921118451219,0.5889189208123436,0.529056493777598,0.4242723342315964,0.42816650855724897,True,evaluated
rna_elasticnet_raw_top500,RNA ElasticNet Cox,raw_high_variance_genes_top500,rna,15.0,0.5542583091033211,0.04030599437833971,0.5887137820760536,0.5682783451356942,0.5415868219614349,0.5800766263980461,0.41140406375918537,True,evaluated
,,pathway_Hallmark_scores,,,,,,,,,,False,optional Hallmark GMT or annotation unavailable
,,pathway_Reactome_scores,,,,,,,,,,False,optional Reactome GMT or annotation unavailable
