dataset,signature_name,n,spearman_rho,p_value,direction,q_value_bh
TCGA-LUAD,malignant_epithelial_cells,503,0.27741387003345136,2.436666169076981e-10,positive,9.746664676307925e-10
TCGA-LUAD,emt_like_tumor_cells,503,0.19283209866205914,1.3309609200041354e-05,positive,2.6619218400082708e-05
TCGA-LUAD,proliferative_tumor_cells,503,0.3489084464942464,7.603582181827842e-16,positive,6.0828657454622734e-15
TCGA-LUAD,hypoxia_tumor_cells,503,0.35389456092132465,2.754861408279465e-16,positive,4.407778253247144e-15
TCGA-LUAD,exhausted_cd8_t_cells,503,-0.14120692275864827,0.0014984454542891846,negative,0.002663903029847439
TCGA-LUAD,cytotoxic_cd8_t_cells,503,-0.035690806781394725,0.4244502737730795,negative,0.4850860271692337
TCGA-LUAD,treg_cells,503,-0.07235613071712016,0.10504626979632602,negative,0.12928771667240124
TCGA-LUAD,m2_like_macrophages,503,-0.08263292564853716,0.06405160572908916,negative,0.08540214097211889
TCGA-LUAD,m1_like_macrophages,503,-0.019954264170243197,0.6552660714671998,negative,0.6989504762316798
TCGA-LUAD,dendritic_cells,503,-0.2562602944277043,5.5208185769842995e-09,negative,1.766661944634976e-08
TCGA-LUAD,caf,503,0.10408738990832091,0.019544760192726066,positive,0.031271616308361706
TCGA-LUAD,endothelial_cells,503,-0.08318557635405552,0.062286821463474216,negative,0.08540214097211889
TCGA-LUAD,b_cells,503,-0.32297139191034785,1.1245143530893116e-13,negative,5.997409883142995e-13
TCGA-LUAD,plasma_cells,503,-0.2232883292165052,4.205970381377258e-07,negative,9.613646586005162e-07
TCGA-LUAD,nk_cells,503,0.014302724725447353,0.7489721469575413,positive,0.7489721469575413
TCGA-LUAD,mast_cells,503,-0.22980755195633257,1.8769652009224654e-07,negative,5.005240535793241e-07
