gene_symbol,ensembl_id,mechanism_layer,hpa_query_status,hpa_url,hpa_pathology_url,protein_name,uniprot,protein_class,hpa_evidence,protein_evidence,reliability_ih,antibody_count,antibodies,rna_cancer_specificity,rna_cancer_distribution,protein_tissue_specificity,protein_tissue_distribution,tissue_expression_cluster,lung_tissue_cell_type_enrichment,lung_cancer_ihc_availability,staining_level,staining_intensity,staining_quantity,tumor_vs_normal_qualitative_pattern,lung_adenocarcinoma_prognostic,lung_adenocarcinoma_prognostic_type,lung_adenocarcinoma_p_value,lung_adenocarcinoma_validation_prognostic,lung_adenocarcinoma_validation_type,lung_adenocarcinoma_validation_p_value,hpa_support_status,support_reason
COL1A1,ENSG00000108821,caf_matrix,cached,https://www.proteinatlas.org/ENSG00000108821-COL1A1,https://www.proteinatlas.org/ENSG00000108821-COL1A1/pathology/lung+cancer,Collagen type I alpha 1 chain,P02452,Cancer-related genes;Disease related genes;FDA approved drug targets;Human disease related genes;Plasma proteins;Predicted intracellular proteins;Predicted secreted proteins,Evidence at transcript level,Evidence at protein level,Approved,2,HPA011795;HPA012111,Low cancer specificity,Detected in all,Group enriched,Detected in all,Cluster 75: Ovary - Mixed function,Lung - Fibroblasts_2,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,potential prognostic,unfavorable,9.95e-4,unprognostic,,3.45e-2,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
COL1A2,ENSG00000164692,caf_matrix,cached,https://www.proteinatlas.org/ENSG00000164692-COL1A2,https://www.proteinatlas.org/ENSG00000164692-COL1A2/pathology/lung+cancer,Collagen type I alpha 2 chain,P08123,Cancer-related genes;Disease related genes;Human disease related genes;Plasma proteins;Predicted secreted proteins,Evidence at protein level,Evidence at protein level,Approved,3,CAB032650;HPA068464;HPA068494,Low cancer specificity,Detected in all,Tissue enhanced,Detected in all,Cluster 75: Ovary - Mixed function,Lung - Fibroblasts_2,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,1.92e-2,unprognostic,,2.40e-2,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
COL3A1,ENSG00000168542,caf_matrix,cached,https://www.proteinatlas.org/ENSG00000168542-COL3A1,https://www.proteinatlas.org/ENSG00000168542-COL3A1/pathology/lung+cancer,Collagen type III alpha 1 chain,P02461,Disease related genes;FDA approved drug targets;Human disease related genes;Plasma proteins;Predicted intracellular proteins;Predicted secreted proteins,Evidence at protein level,Evidence at protein level,Approved,3,HPA007583;CAB016766;CAB059993,Low cancer specificity,Detected in all,Tissue enriched,Detected in all,Cluster 14: Adipose tissue - Angiogenesis,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,5.82e-2,unprognostic,,8.53e-3,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
ACTA2,ENSG00000107796,caf_matrix,cached,https://www.proteinatlas.org/ENSG00000107796-ACTA2,https://www.proteinatlas.org/ENSG00000107796-ACTA2/pathology/lung+cancer,"Actin alpha 2, smooth muscle",P62736,Disease related genes;Human disease related genes;Plasma proteins;Predicted intracellular proteins,Evidence at protein level,Evidence at protein level,Enhanced,5,CAB000002;CAB003761;CAB013531;HPA041264;HPA041271,Low cancer specificity,Detected in all,Not detected,Not detected,Cluster 12: Smooth muscle tissue - ECM organization,Lung - Smooth muscle cells,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,2.45e-1,unprognostic,,2.66e-2,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
FAP,ENSG00000078098,caf_matrix,cached,https://www.proteinatlas.org/ENSG00000078098-FAP,https://www.proteinatlas.org/ENSG00000078098-FAP/pathology/lung+cancer,Fibroblast activation protein alpha,Q12884,Cancer-related genes;Enzymes;Plasma proteins;Predicted intracellular proteins;Predicted secreted proteins,Evidence at transcript level,Evidence at protein level,Uncertain,1,HPA059739,Low cancer specificity,Detected in many,Group enriched,Detected in some,Cluster 14: Adipose tissue - Angiogenesis,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,6.19e-2,unprognostic,,2.15e-2,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
PDGFRB,ENSG00000113721,caf_matrix,cached,https://www.proteinatlas.org/ENSG00000113721-PDGFRB,https://www.proteinatlas.org/ENSG00000113721-PDGFRB/pathology/lung+cancer,Platelet derived growth factor receptor beta,P09619,Cancer-related genes;CD markers;Disease related genes;Enzymes;FDA approved drug targets;Human disease related genes;Plasma proteins;Predicted intracellular proteins;Predicted membrane proteins;RAS pathway related proteins;Transporters,Evidence at protein level,Evidence at protein level,Enhanced,3,CAB003842;CAB018144;HPA028499,Low cancer specificity,Detected in all,Low tissue specificity,Detected in all,Cluster 14: Adipose tissue - Angiogenesis,,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,1.88e-1,unprognostic,,5.43e-3,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
TAGLN,ENSG00000149591,caf_matrix,cached,https://www.proteinatlas.org/ENSG00000149591-TAGLN,https://www.proteinatlas.org/ENSG00000149591-TAGLN/pathology/lung+cancer,Transgelin,Q01995,Cancer-related genes;Plasma proteins;Predicted intracellular proteins,Evidence at protein level,Evidence at protein level,Enhanced,3,CAB001447;HPA019467;HPA061657,Low cancer specificity,Detected in all,Tissue enhanced,Detected in all,Cluster 12: Smooth muscle tissue - ECM organization,Lung - Smooth muscle cells,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,1.73e-1,unprognostic,,1.72e-2,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
MS4A1,ENSG00000156738,dendritic_b_plasma_context,cached,https://www.proteinatlas.org/ENSG00000156738-MS4A1,https://www.proteinatlas.org/ENSG00000156738-MS4A1/pathology/lung+cancer,Membrane spanning 4-domains A1,P11836,CD markers;Disease related genes;FDA approved drug targets;Human disease related genes;Predicted intracellular proteins;Predicted membrane proteins;Transporters,Evidence at protein level,Evidence at protein level,Enhanced,3,CAB000015;HPA014341;HPA014391,Low cancer specificity,Detected in many,Tissue enriched,Detected in some,Cluster 18: Lymphoid tissue - Immune response,Lung - B-cells (Lung),unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,potential prognostic,favorable,1.29e-4,unprognostic,,3.75e-2,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
CD79A,ENSG00000105369,dendritic_b_plasma_context,cached,https://www.proteinatlas.org/ENSG00000105369-CD79A,https://www.proteinatlas.org/ENSG00000105369-CD79A/pathology/lung+cancer,CD79a molecule,P11912,Cancer-related genes;CD markers;Disease related genes;Human disease related genes;Predicted intracellular proteins;Predicted membrane proteins,Evidence at protein level,Evidence at protein level,Enhanced,2,CAB000019;HPA056444,Low cancer specificity,Detected in many,Tissue enriched,Detected in single,Cluster 18: Lymphoid tissue - Immune response,Lung - Plasma cells,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,1.28e-3,unprognostic,,1.98e-2,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
MZB1,ENSG00000170476,dendritic_b_plasma_context,cached,https://www.proteinatlas.org/ENSG00000170476-MZB1,https://www.proteinatlas.org/ENSG00000170476-MZB1/pathology/lung+cancer,Marginal zone B and B1 cell specific protein,Q8WU39,Predicted secreted proteins,Evidence at protein level,Evidence at protein level,Enhanced,2,HPA043745;HPA052694,Low cancer specificity,Detected in many,Tissue enhanced,Detected in many,Cluster 66: Lymphoid tissue - Immune response,Lung - Plasma cells,unparsed_link_available,not_structured_in_json,not_structured_in_json,not_structured_in_json,manual_review_required,unprognostic,,2.53e-2,unprognostic,,4.01e-3,supported_or_linked_qualitative_hpa_evidence,HPA JSON record and gene/pathology links available; IHC staining details require manual review because lung-cancer IHC image-level fields are not structured in this JSON endpoint.
