gene_symbol,ensembl_id,mechanism_layer,stage4_signature,expected_direction,stage4_signature_risk_rho,stage4_external_consistency,stage4_matches_predefined_direction,tcga_mrna_available,tcga_mrna_risk_spearman,tcga_mrna_risk_p_value,tcga_mrna_direction_matches_layer,in_stage2d_fixed_input_genes,hpa_status_before_query,cptac_status_before_query,priority_rank_within_layer,selection_rationale,candidate_priority_score,supported_by_HPA,hpa_support_status,evidence_level,cptac_available,cptac_availability_status,sample_count,mean_abundance,missing_fraction,comparison_basis,effect,stage5b_direction_p_value,consistent_with_stage4,cox_available,hazard_ratio_per_sd,ci95_lower,ci95_upper,survival_p_value,fdr_bh,cptac_direction_consistent_nominal,supported_by_CPTAC_quantitative,supported_by_HPA_and_CPTAC,stage5b_evidence_level,cptac_interpretation_note
COL1A1,ENSG00000108821,caf_matrix,caf,higher_in_high_risk,0.1040873899083209,consistent,True,True,0.2221659607899934,4.820989018299642e-07,True,True,pending_stage5_hpa_validation,pending_stage5_cptac_validation,2,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,6,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,-1.2111523905001709e-17,0.0,clinical_stage_spearman_no_risk_score,0.1011643079570393,0.2929829769730379,consistent,True,1.1806670868492894,0.8404765148458565,1.6585529105769754,0.338174758268046,0.582412083683857,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
COL1A2,ENSG00000164692,caf_matrix,caf,higher_in_high_risk,0.1040873899083209,consistent,True,True,0.2145172033630129,1.1990729383969658e-06,True,True,pending_stage5_hpa_validation,pending_stage5_cptac_validation,3,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,6,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,3.431598439750484e-17,0.0,clinical_stage_spearman_no_risk_score,0.0738783634535811,0.4430574775687459,consistent,True,1.2195764289315625,0.8831640119672227,1.6841341425273826,0.228017023738326,0.4540949920499905,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
COL3A1,ENSG00000168542,caf_matrix,caf,higher_in_high_risk,0.1040873899083209,consistent,True,True,0.2051899379665848,3.485073184950903e-06,True,True,pending_stage5_hpa_validation,pending_stage5_cptac_validation,4,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,6,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,-4.592286147313148e-17,0.0,clinical_stage_spearman_no_risk_score,0.1049869352835474,0.2750293994631871,consistent,True,1.3221124171177927,0.9275691677059298,1.8844753624359585,0.1225405855391876,0.3269279443092081,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
ACTA2,ENSG00000107796,caf_matrix,caf,higher_in_high_risk,0.1040873899083209,consistent,True,True,0.0913529447485076,0.0405580807731918,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,1,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,False,unavailable_gene_not_in_cptac_matrix,0,,,unavailable_gene_not_in_cptac_matrix,,,unavailable,False,,,,,,False,False,False,moderate,HPA qualitative support only; CPTAC protein abundance unavailable in current run.
FAP,ENSG00000078098,caf_matrix,caf,higher_in_high_risk,0.1040873899083209,consistent,True,True,0.142509202044421,0.00135265909016,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,5,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,9.235036977563802e-17,0.0,clinical_stage_spearman_no_risk_score,0.0725887417394915,0.4510803224170638,consistent,True,1.2127202808463395,0.854749930784583,1.720609065421116,0.2798621618568716,0.51033688338606,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
PDGFRB,ENSG00000113721,caf_matrix,caf,higher_in_high_risk,0.1040873899083209,consistent,True,True,0.1386901508799602,0.00182183278789,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,6,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,2.106900512640922e-17,0.0,clinical_stage_spearman_no_risk_score,-0.2627402399768648,0.0055531885300538,inconsistent,True,0.8966066617577021,0.6288736416162105,1.278322786501676,0.5464443482792716,0.7365119476807572,False,False,False,moderate,CPTAC protein detected but not directionally supportive under the pre-specified Stage 4 expectation.
TAGLN,ENSG00000149591,caf_matrix,caf,higher_in_high_risk,0.1040873899083209,consistent,True,True,0.0661315732997198,0.1385777442131487,True,False,pending_stage5_hpa_validation,pending_stage5_cptac_validation,7,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,5,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,-1.448336400306454e-16,0.0,clinical_stage_spearman_no_risk_score,0.041323246081165,0.6681895476176675,consistent,True,1.0341933577384008,0.7169991680956281,1.491711495329906,0.857229248413878,0.91634850692518,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
MS4A1,ENSG00000156738,dendritic_b_plasma_context,dendritic_b_plasma_cells,higher_in_low_risk,-0.2675066718515191,composite_low_risk_immune_context,True,True,-0.2948381613185618,1.513234055963375e-11,True,True,pending_stage5_hpa_validation,pending_stage5_cptac_validation,4,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,6,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,-3.936245269125555e-17,0.0,clinical_stage_spearman_no_risk_score,-0.1401631478760841,0.1441608291026532,consistent,True,0.770005869856473,0.529653705388229,1.119427719624522,0.1709869200574431,0.4077380401369797,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
CD79A,ENSG00000105369,dendritic_b_plasma_context,dendritic_b_plasma_cells,higher_in_low_risk,-0.2675066718515191,composite_low_risk_immune_context,True,True,-0.2590835182417164,3.697914257679397e-09,True,True,pending_stage5_hpa_validation,pending_stage5_cptac_validation,5,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,6,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,-1.715799219875242e-17,0.0,clinical_stage_spearman_no_risk_score,-0.1079151444481464,0.2617880774197483,consistent,True,1.0454408299259872,0.7052866057326773,1.549648781066733,0.8248621197641857,0.9132402040246342,True,False,False,moderate,CPTAC direction is consistent but not nominally significant; not counted as quantitative support.
MZB1,ENSG00000170476,dendritic_b_plasma_context,dendritic_b_plasma_cells,higher_in_low_risk,-0.2675066718515191,composite_low_risk_immune_context,True,True,-0.2015916264884606,5.192754805237464e-06,True,True,pending_stage5_hpa_validation,pending_stage5_cptac_validation,7,Pre-specified Stage 5 marker from a Stage 4 mechanism layer; not selected using protein outcomes.,6,True,supported_or_linked_qualitative_hpa_evidence,moderate,True,available,110,-1.6148698540002276e-17,0.0,clinical_stage_spearman_no_risk_score,0.094954468295658,0.323767161684264,inconsistent,True,0.9577460406204006,0.6629781443195221,1.3835712175181032,0.8180600613991857,0.9132402040246342,False,False,False,moderate,CPTAC protein detected but not directionally supportive under the pre-specified Stage 4 expectation.
